Actual_Price,Predicted_price
627785.1190329521,556487.5169002749
595804.7722878832,632943.933466187
705130.3980385133,656228.4694883258
684319.6904553123,739860.8725630252
595676.9793114531,619697.0165836208
610057.2323562407,626070.3674423492
749855.0593667751,717939.8713084566
540518.3741433461,621247.5907093396
644938.3182892204,559290.1530315778
762909.0633795457,680307.5469623142
764976.3003491038,720576.8724798211
401169.0709834215,516848.75131113804
464849.91775683535,494478.5064323711
443440.0457223139,491533.1259459839
428376.7208072508,513358.187502865
515689.2507910096,529192.2965908351
517683.8030729428,491842.6882105723
527914.2346217578,582863.2435170172
649312.3270315046,573239.2523246928
413609.134684884,527138.0891862337
738269.852342477,665917.3036003654
582066.7431158358,527461.321981022
650330.1888173145,720518.4125112979
518571.7731367478,554828.4599363256
518763.4925441514,612602.8037252403
758051.2044275096,707376.4910701145
636794.9291918874,636633.0951633919
549076.8086095079,633376.0262628912
427818.4486794847,376391.1560885689
534963.4121573154,604241.2933589004
590004.3557620827,497750.19936081825
398238.8756871716,376060.3287629271
557048.8219766509,661339.7342985859
643683.5728946979,706772.7101506972
438805.8696075837,549682.0796265145
659323.2209403132,620182.1354216461
654546.9677146755,554454.0775994818
445001.43354634393,538089.7012479401
687695.427037415,670880.5039058771
442965.5198385375,460882.71926000016
554821.1268127852,658903.5388761589
643872.5756270154,604474.0635707586
733677.9177789266,671807.3343635028
496952.7583595967,457054.9902606204
743412.1438891097,686421.0174288321
654928.1183587011,715940.3087135097
457514.7327829617,489809.4679276607
567986.7951541396,601859.4844415747
502845.1947996056,534921.708834889
359887.8502803061,532583.1101510184
638320.3218249038,762720.7747923153
529703.7542428804,445206.827432008
800972.1130069111,749604.2685397435
550978.3776309715,515919.76455702
481257.0956764387,482300.3631239403
280166.11093370203,333575.0610897909
318416.1243688445,331282.5810518847
545410.9778174642,520822.6913783653
779935.2801318516,734306.9475088456
689330.6032517364,776419.5336695312
572360.649869456,633644.5071891326
444555.3105545334,411899.7351131856
614845.5668954669,703721.4780310548
649930.0523377272,584831.369593019
466696.76824151614,431008.2646242181
548437.984990651,419093.2567465019
867558.2967691818,760754.1514711648
665788.016967782,616523.4575925992
434617.4916587671,396925.9872658084
627500.8641789245,571878.102723028
464478.6968798775,561134.8905796079
439102.99453753,410656.6978937784
708362.2870508945,687391.7222455794
301823.9205069342,384119.8717802628
542553.068764419,583735.5922261283
495424.8564378359,550558.6913042398
483429.6050204263,537077.4368223547
553957.5548410888,570080.1490926679
377060.0039672466,317701.7587821516
731778.4048766447,693386.9040218215
651471.4064928052,655927.8078313066
622106.8516600628,648579.0126262195
359989.9570378856,396861.66040409904
619610.3700756059,620116.6191062562
527479.0191969719,459855.47547691566
540406.724839883,484503.51158163056
515701.3384043886,581540.3593591389
827018.6553727529,749519.8777067777
479876.364638616,402945.28490281827
721719.2049035277,679988.8799999806
544960.7613589679,429090.006496459
739222.5385332668,676784.6311466059
488287.2355664341,549558.9495815214
539872.1273903275,577860.79954716
510018.425014717,554585.8966741116
495299.7847341229,649442.5711524275
701186.0604957335,613446.593188116
452538.0932698649,491838.5142243911
407682.14481333096,393638.0427763858
507098.1384968316,501454.2197740226
